tweet
"Selamat Hari Minggu, tetap lawan and #FreePalestine 🇵🇸!
#CabutRUUTNI
#TolakRUUPolri
#TolakRUUKUHP
#TolakRUUPenyiaran 
#SupremasiSipil
#BatalkanRUUTNI
#IndonesiaGelap 
#IndonesiaGelapJilid2"
"@Boediantar4 @Abe_Mukti Janganlah risau saudara. Di negara yang konon ada Pancasila, anak-anak kecil sudah jadi Wapres, Gubernur, dan Ketua Partai. Dengan jurus tipu-tolol yang disebarkan Mulyondol, nominator juara dua korupsi se-dunia, tetaplah santai.

#IndonesiaGelap"
"BEBASKAN 11 MASYARAKAT ADAT MABA SANGAJI
#SaveHalmahera #masyarakatadat #indonesiagelap #tolaktambang https://t.co/fZFzGJYtRs"
"@kumparan Yang Blokir Mesjid, para para Ekstrimis... 

Astaghfirullah🎯

#IndonesiaGelap 
#IndonesiaBebasKorupsi"
"#Asean #Wings #trending #southeastAsia #BakarSampah #IndonesiaGelap🇮🇩 #AirPollution @infoBMKG @dinaslhdki @DKIJakarta @pramonoanung 
@JSCLab 
6:15 am polusi udara sangat tinggi. Langit menjadi mendung krn asap yg sangat pekat/ tebal 😭🤢🇮🇩 https://t.co/MFsijsxjDb"
@Intel_Imut @barengwarga Nih naikin lagi tagarnya #IndonesiaGelap mau apr lu
"2. Kalau bersuara #indonesiagelap itu dibayar, berarti Indonesia sebenarnya ga gelap. Jadi fasilitas pejabat tetap mewah tapi anggaran pendidikan dan kesehatan dipangkas itu gapapa? Apa peringkat 1 pengangguran tertinggi di ASEAN itu kufur nikmat soal lapangan kerja?"
"Banyak yang maki-maki selebriti yang menyuarakan #Indonesiagelap karena berasumsi kalau semuanya itu buzzer dan dibayar karena mbak MS lewat videonya dianggap mengaku jadi dalang nya. Dengan nada sangat amat lembut dan rendah hati, pertanyaan saya adalah:"
"Tulisan Prof. Ariel pada 28 Juni 1998 ini harus dibaca dan (sayangnya) masih sangat relevan, dan bagi saya ini adalah panggilan revolusi. 

“Karena Allah tidak akan mengubah nasib suatu kaum kecuali kaum itu sendiri yang mengubah nasibnya” ✊🏽

#MosiTidakPercaya #IndonesiaGelap https://t.co/f5UDzNQMxq"
"@anyonehungry @bacottetanggaid Perlu demo besar besar an lagi... 

#lindungiTessoNilo #SaveRajaAmpat #savepapua #saverajaempat #TolakODOL #daruratphk #IndonesiaGelap cc @barengwarga @aniesbaswedan @jorgianaaa @sopirgabut_ @widodogroho @prabowo @PSSI .. https://t.co/Tmt6Xkh7p2"
"Iya-iya bukan dia yg bikin konten #IndonesiaGelap, #TolakRUUTNI ,
#tolakruukejaksaan 

tapi dia yang bayar !!! 

😁😁😁 https://t.co/2QE0aodYda"
"Melek Yukk,. 

#IndonesiaGelap #TolakUUTNI #SupremasiSipil #MariBangunKesadaran #TolakOkupasiTanahRakyat
#MataMuButaGunakanLampuJauhMeskiDalamKota https://t.co/oBQ8SPxTQu"
"Melek Yukk,. 

#IndonesiaGelap #TolakUUTNI #SupremasiSipil #MariBangunKesadaran #TolakOkupasiTanahRakyat
#MataMuButaGunakanLampuJauhMeskiDalamKota https://t.co/zA4jPlv8Op"
"Nek Coyo,.
Melek Yukk,. 

#IndonesiaGelap #TolakUUTNI #SupremasiSipil #MariBangunKesadaran #TolakOkupasiTanahRakyat
#MataMuButaGunakanLampuJauhMeskiDalamKota https://t.co/fk0wuoq4lg"
"Drone Kirim Narkoba Ke Lapas,. 

Bisa jdi Ke Depan, Drone Kirim Granat Medium Explosive Kerumah Pejabat Korup  😁😁😁

Melek Yukk,. 

#IndonesiaGelap #TolakUUTNI #SupremasiSipil #MariBangunKesadaran #TolakOkupasiTanahRakyat
#MataMuButaGunakanLampuJauhMeskiDalamKota https://t.co/Nn0tKPeIc6"
"17 Agustus 2025
#IndonesiaGelap

Aku rasa tidak bangga jadi orang indonesia
Kebijakan yang diciptakan penjabat pada absurb yaachh. Ucap dari kata penjabat soal Hut RI ke 80: ""MAKE INDONESIA DARK AGAIN"" ~ ""MAKE INDONESIA WEAK AGAIN""
Indonesia Gelap

https://t.co/icq5iLYGRh"
"Melek Yukk,. 

